brand,category,age,condition,usage_hours,original_price,resale_price
Toyota,Cars,10,Poor,14600,1131798,113179
Yamaha,Bikes,5,Good,7300,286767,95059
Honda,Bikes,10,Good,14600,243460,34949
Apple,Electronics,0,Like New,0,87693,72214
N/A,Books,8,Poor,11680,10927,1092
Nothing,Mobiles,5,Like New,7300,108774,22494
TVs,Bikes,7,Good,10220,110894,23607
N/A,Books,4,Good,5840,2601,260
OnePlus,Mobiles,4,Good,5840,101473,21192
Honda,Cars,0,New,0,499632,517168
Yonex,Sports,10,Fair,14600,16344,1634
IKEA,Furniture,3,Like New,4380,5172,1438
N/A,Services,9,Fair,13140,5821,582
OnePlus,Mobiles,1,Poor,1460,91502,19743
Samsung,Electronics,7,Good,10220,147938,22559
Dell,Electronics,7,Poor,10220,86212,8621
Xiaomi,Mobiles,3,Like New,4380,22781,7889
Honda,Bikes,4,New,5840,141337,77056
Honda,Bikes,1,Good,1460,156798,91961
N/A,Books,9,Good,13140,2566,256
Local,Furniture,10,New,14600,40804,4080
Generic,Other,8,Fair,11680,11212,1121
Vivo,Mobiles,2,Like New,2920,104137,45700
Urban Ladder,Furniture,8,Poor,11680,6864,686
N/A,Services,8,Good,11680,9054,905
N/A,Services,6,Fair,8760,19838,1983
Samsung,Electronics,8,Fair,11680,189227,18922
N/A,Houses & Apartments,8,Like New,11680,17284,1728
N/A,Books,0,Good,0,15213,10383
N/A,Houses & Apartments,10,Good,14600,6917,691
N/A,Books,10,Like New,14600,4442,444
Bajaj,Bikes,7,Like New,10220,82688,20506
N/A,Books,1,Good,1460,13291,5849
FisherPrice,Kids,9,Fair,13140,9332,933
Generic,Other,2,Poor,2920,15731,1573
Generic,Other,7,Like New,10220,17079,1707
Wilson,Sports,10,Good,14600,16899,1689
TVs,Bikes,5,Poor,7300,260075,37759
Honda,Bikes,5,Fair,7300,195066,46508
Adidas,Fashion,1,Fair,1460,7215,2350
Adidas,Fashion,5,Good,7300,9839,983
HotWheels,Kids,9,Fair,13140,6272,627
FisherPrice,Kids,10,Fair,14600,5464,546
N/A,Houses & Apartments,6,Like New,8760,9978,997
Generic,Other,4,Like New,5840,19643,2294
Generic,Other,3,Poor,4380,12653,1265
Yamaha,Bikes,8,Like New,11680,66148,14481
IKEA,Furniture,8,Poor,11680,24779,2477
Generic,Other,0,Like New,0,5889,5363
Sony,Electronics,9,Fair,13140,114813,11481
Apple,Mobiles,0,Fair,0,38400,20973
Generic,Other,7,Poor,10220,17796,1779
Barbie,Kids,9,Good,13140,5948,594
Local,Furniture,0,Fair,0,49710,26072
N/A,Books,5,Good,7300,13561,1356
N/A,Houses & Apartments,4,Fair,5840,3257,325
Oppo,Mobiles,7,Good,10220,108960,10896
Godrej,Furniture,0,Like New,0,20107,16508
Asus,Electronics,7,Fair,10220,159331,16855
Acer,Electronics,1,Good,1460,79305,46267
FisherPrice,Kids,4,Like New,5840,18118,2122
Wilson,Sports,5,New,7300,17911,1791
Bajaj,Bikes,9,Like New,13140,95795,17571
Nilkamal,Furniture,10,Like New,14600,47540,4754
Bajaj,Bikes,8,Good,11680,247054,49591
Levis,Fashion,2,New,2920,12575,4363
Generic,Other,0,Good,0,6321,4108
Lego,Kids,3,Good,4380,13507,2079
Generic,Other,1,Good,1460,6630,2525
Nivia,Sports,7,Poor,10220,5023,502
OnePlus,Mobiles,4,Fair,5840,67291,9975
Hero,Bikes,6,Good,8760,51768,13758
OnePlus,Mobiles,2,Poor,2920,86192,15313
Barbie,Kids,8,New,11680,1379,137
Apple,Electronics,2,Good,2920,31549,13883
Yonex,Sports,4,Good,5840,10616,1061
Decathlon,Sports,5,Fair,7300,3735,373
N/A,Services,1,Good,1460,16504,7322
Samsung,Mobiles,2,Good,2920,44586,15837
HotWheels,Kids,7,Fair,10220,5210,521
N/A,Books,4,New,5840,18318,2187
Generic,Other,6,New,8760,5378,537
OnePlus,Mobiles,1,Like New,1460,135259,81720
N/A,Services,0,Poor,0,14458,4012
Redmi,Mobiles,7,New,10220,44738,5720
Mahindra,Cars,3,Good,4380,1350846,552005
Lego,Kids,6,Like New,8760,9176,917
Generic,Other,5,Poor,7300,13929,1392
N/A,Houses & Apartments,7,Fair,10220,16110,1611
HotWheels,Kids,1,New,1460,10319,6464
Generic,Other,1,Good,1460,5591,2167
HP,Electronics,9,Good,13140,51356,5135
Nilkamal,Furniture,0,Good,0,49911,32456
Zara,Fashion,9,Good,13140,2354,235
N/A,Houses & Apartments,3,Like New,4380,6530,1205
Nilkamal,Furniture,9,Poor,13140,9554,955
Yonex,Sports,6,Good,8760,13957,1395
N/A,Books,1,Fair,1460,13792,3805
N/A,Houses & Apartments,0,Poor,0,2125,618
Dell,Electronics,2,Fair,2920,125689,38987
Toyota,Cars,7,Like New,10220,985271,260076
Levis,Fashion,1,Poor,1460,14619,2627
Generic,Other,10,Good,14600,4580,458
IKEA,Furniture,3,New,4380,19223,6120
Asus,Electronics,0,Good,0,160354,109931
N/A,Houses & Apartments,3,Fair,4380,11040,1135
TVs,Bikes,4,Fair,5840,90415,21336
N/A,Services,1,Fair,1460,14512,3923
N/A,Books,10,Like New,14600,4792,479
IKEA,Furniture,2,Good,2920,8775,3092
Nothing,Mobiles,1,Good,1460,70152,36995
Lego,Kids,2,Good,2920,14363,3380
Zara,Fashion,5,Good,7300,11050,1105
Nilkamal,Furniture,8,Fair,11680,30588,3058
Mahindra,Cars,5,Fair,7300,762644,176898
Honda,Bikes,7,Fair,10220,202373,32178
Godrej,Furniture,1,Good,1460,41473,18941
Bajaj,Bikes,2,Like New,2920,292441,169804
Generic,Other,10,Like New,14600,2225,222
FisherPrice,Kids,10,Good,14600,1915,191
N/A,Services,7,Like New,10220,9519,951
Generic,Other,9,Like New,13140,15691,1569
N/A,Books,1,Like New,1460,2864,1553
N/A,Books,10,Fair,14600,4316,431
LG,Electronics,7,Fair,10220,139753,16086
Lenovo,Electronics,3,Good,4380,106938,35574
Generic,Other,2,Good,2920,3726,946
N/A,Services,8,Good,11680,3198,319
Nike,Fashion,0,Good,0,18020,11883
N/A,Services,4,Fair,5840,18472,1847
Acer,Electronics,5,Good,7300,150920,33096
Decathlon,Sports,6,Good,8760,19131,1913
Sony,Electronics,6,Good,8760,158721,31691
Nilkamal,Furniture,0,Good,0,10992,7837
N/A,Books,6,Like New,8760,15316,1531
N/A,Services,5,New,7300,15362,1536
N/A,Houses & Apartments,9,Good,13140,8585,858
Generic,Other,2,Good,2920,3632,990
Puma,Fashion,0,Good,0,13157,9828
Realme,Mobiles,4,Like New,5840,33847,9574
Maruti,Cars,8,Fair,11680,1992139,267826
Generic,Other,5,Like New,7300,10544,1054
Nivia,Sports,10,Good,14600,4899,489
Decathlon,Sports,6,Good,8760,11076,1107
N/A,Services,6,Poor,8760,12334,1233
Godrej,Furniture,6,Fair,8760,14359,1435
Levis,Fashion,4,Like New,5840,18942,2106
TVs,Bikes,7,Poor,10220,79013,7901
Bajaj,Bikes,4,Good,5840,174767,58909
Nivia,Sports,6,Good,8760,13092,1309
Local,Furniture,5,Like New,7300,34031,4465
Generic,Other,2,Like New,2920,19694,6407
Samsung,Electronics,9,Poor,13140,57641,5764
Generic,Other,3,Good,4380,15582,2150
N/A,Services,7,Good,10220,10546,1054
Apple,Electronics,5,Good,7300,137937,31347
Toyota,Cars,9,Good,13140,330376,54258
N/A,Books,9,Good,13140,16819,1681
Yamaha,Bikes,8,Fair,11680,63174,8062
N/A,Books,0,Good,0,16834,11870
Yonex,Sports,0,Like New,0,7265,5759
H&M,Fashion,4,Like New,5840,3934,451
N/A,Services,4,Good,5840,17106,1710
Levis,Fashion,6,Like New,8760,8294,829
Nike,Fashion,9,Good,13140,6964,696
Lego,Kids,6,New,8760,3801,380
Local,Furniture,8,Good,11680,40311,4031
Kia,Cars,10,Good,14600,1968791,273512
Generic,Other,1,New,1460,19753,12302
N/A,Houses & Apartments,5,New,7300,2915,291
Google,Mobiles,9,Good,13140,72606,7260
Mahindra,Cars,10,Good,14600,1122866,151715
Nothing,Mobiles,6,Poor,8760,75616,7561
Tata,Cars,9,Fair,13140,399753,49626
Nike,Fashion,6,New,8760,4525,452
Lego,Kids,5,Good,7300,15443,1544
N/A,Books,5,New,7300,13138,1313
Yamaha,Bikes,8,Fair,11680,173242,21404
Zara,Fashion,0,Good,0,10473,7257
Maruti,Cars,2,Good,2920,1907208,1046356
Generic,Other,7,Like New,10220,4501,450
Xiaomi,Mobiles,9,Good,13140,113317,11331
Samsung,Electronics,5,Fair,7300,142305,23186
N/A,Houses & Apartments,4,Good,5840,13076,1307
N/A,Services,0,Good,0,2033,1387
N/A,Books,6,Good,8760,5254,525
Adidas,Fashion,9,Like New,13140,16962,1696
Vivo,Mobiles,8,Poor,11680,87363,8736
N/A,Books,8,Poor,11680,2242,224
Bajaj,Bikes,9,Like New,13140,87498,17821
Realme,Mobiles,0,Fair,0,57166,25781
Nike,Fashion,5,New,7300,5640,564
Yonex,Sports,7,New,10220,10440,1044
Generic,Other,8,Fair,11680,2954,295
N/A,Houses & Apartments,5,Good,7300,9880,988
N/A,Books,7,Like New,10220,5000,500
Barbie,Kids,4,Poor,5840,10960,1096
Nilkamal,Furniture,7,Good,10220,32066,3206
Honda,Bikes,8,Good,11680,63208,11118
Realme,Mobiles,6,Fair,8760,114036,11403
Acer,Electronics,9,New,13140,148332,17398
Generic,Other,5,Poor,7300,10483,1048
N/A,Services,0,Fair,0,19222,9167
Zara,Fashion,5,New,7300,2133,213
Generic,Other,6,Good,8760,16599,1659
Adidas,Fashion,4,New,5840,13868,1850
Decathlon,Sports,1,Fair,1460,12644,3635
N/A,Books,1,Poor,1460,11948,1953
N/A,Services,8,New,11680,1751,175
Royal Enfield,Bikes,5,Good,7300,293161,99088
Honda,Cars,10,Fair,14600,1471180,157090
FisherPrice,Kids,6,Fair,8760,8059,805
N/A,Houses & Apartments,8,Good,11680,2905,290
Realme,Mobiles,0,Fair,0,92961,48911
Nike,Fashion,5,New,7300,15430,1543
FisherPrice,Kids,7,Fair,10220,1577,157
N/A,Books,4,Good,5840,18082,1808
Hero,Bikes,5,Good,7300,87730,25603
N/A,Books,0,Good,0,16342,11444
Acer,Electronics,1,New,1460,168543,121738
N/A,Books,7,Fair,10220,6629,662
TVs,Bikes,4,Good,5840,248353,98331
Apple,Mobiles,4,Good,5840,69129,14829
Hyundai,Cars,6,Fair,8760,509325,104634
Realme,Mobiles,9,Good,13140,41283,4128
Dell,Electronics,8,Good,11680,147860,16501
TVs,Bikes,4,Good,5840,271361,108896
N/A,Services,1,Poor,1460,1343,223
IKEA,Furniture,3,Good,4380,48292,10481
Sony,Electronics,0,Good,0,163541,122594
N/A,Houses & Apartments,5,New,7300,6871,687
Generic,Other,1,Good,1460,11094,4736
Mahindra,Cars,7,Fair,10220,1409221,222941
HP,Electronics,3,Like New,4380,111031,48798
Generic,Other,1,Fair,1460,4692,1380
Hyundai,Cars,5,New,7300,916002,380558
Kia,Cars,2,New,2920,669956,418726
N/A,Books,10,New,14600,16275,1627
Adidas,Fashion,6,Poor,8760,4792,479
Generic,Other,2,Fair,2920,19130,3125
N/A,Services,6,Like New,8760,17375,1737
Hyundai,Cars,3,Good,4380,986591,395283
Urban Ladder,Furniture,6,Good,8760,31196,3119
Decathlon,Sports,2,Good,2920,16862,4540
Puma,Fashion,3,Like New,4380,1719,345
Yamaha,Bikes,5,Good,7300,72405,21254
N/A,Houses & Apartments,2,Good,2920,11746,2799
Generic,Other,2,Good,2920,10977,2596
N/A,Books,3,Good,4380,13031,1778
Generic,Other,2,New,2920,2495,867
Lenovo,Electronics,6,Fair,8760,140662,17405
N/A,Houses & Apartments,8,Fair,11680,8406,840
Nike,Fashion,6,Fair,8760,10372,1037
Puma,Fashion,4,Good,5840,12929,1292
N/A,Books,0,Fair,0,16854,8313
Honda,Bikes,4,Fair,5840,292237,70792
Nilkamal,Furniture,3,Poor,4380,7766,776
N/A,Houses & Apartments,3,Like New,4380,12923,2525
Barbie,Kids,10,Like New,14600,13536,1353
N/A,Books,9,Good,13140,5812,581
Oppo,Mobiles,9,Fair,13140,52364,5236
TVs,Bikes,2,Good,2920,244053,112165
Wilson,Sports,6,Like New,8760,12683,1268
Levis,Fashion,2,Good,2920,15477,3596
H&M,Fashion,5,Fair,7300,13480,1348
N/A,Services,3,Like New,4380,17575,3520
Honda,Bikes,8,Good,11680,176958,35997
Generic,Other,0,Fair,0,9625,5148
N/A,Services,4,Good,5840,16961,1696
H&M,Fashion,9,Good,13140,2480,248
Generic,Other,7,Good,10220,6230,623
HP,Electronics,10,Like New,14600,126424,12642
Zara,Fashion,1,Fair,1460,4180,1297
Asus,Electronics,10,Good,14600,114704,11470
IKEA,Furniture,4,Good,5840,37320,5982
N/A,Books,7,Like New,10220,14023,1402
Vivo,Mobiles,6,Like New,8760,81258,13421
Generic,Other,1,Like New,1460,4539,2085
Lenovo,Electronics,0,Good,0,65591,49010
Tata,Cars,4,New,5840,1116876,541447
Yonex,Sports,8,Fair,11680,12438,1243
Xiaomi,Mobiles,2,Good,2920,33167,13451
Generic,Other,2,Poor,2920,4309,430
Generic,Other,9,Fair,13140,12549,1254
N/A,Houses & Apartments,6,New,8760,1637,163
Barbie,Kids,9,Like New,13140,13119,1311
Royal Enfield,Bikes,2,Fair,2920,163664,55320
N/A,Books,1,Fair,1460,18894,5834
Puma,Fashion,5,New,7300,2538,253
Generic,Other,10,New,14600,12321,1232
Generic,Other,9,Good,13140,11664,1166
Godrej,Furniture,9,Like New,13140,34143,3414
Yamaha,Bikes,2,Good,2920,242818,134826
N/A,Services,8,Good,11680,4115,411
Hyundai,Cars,10,New,14600,642482,121784
N/A,Services,10,New,14600,12947,1294
Nothing,Mobiles,5,Fair,7300,106378,12921
Vivo,Mobiles,6,Fair,8760,11352,1135
Wilson,Sports,2,Good,2920,16789,4612
Nivia,Sports,4,Good,5840,13140,1314
N/A,Houses & Apartments,10,Good,14600,3476,347
Generic,Other,8,Like New,11680,14251,1425
N/A,Books,2,Good,2920,8492,1926
Generic,Other,0,Fair,0,6163,3123
Yamaha,Bikes,0,Good,0,78772,59823
N/A,Services,2,New,2920,5195,1915
Hero,Bikes,3,Good,4380,145762,66226
Generic,Other,6,New,8760,3262,326
Lego,Kids,5,Like New,7300,1769,176
Honda,Bikes,5,Fair,7300,76748,15728
N/A,Houses & Apartments,1,Like New,1460,4965,2634
Realme,Mobiles,8,New,11680,53405,5340
Nike,Fashion,3,Like New,4380,9151,1528
Barbie,Kids,9,Good,13140,2739,273
Realme,Mobiles,6,Good,8760,147677,17912
Puma,Fashion,8,New,11680,17305,1730
N/A,Houses & Apartments,6,Good,8760,8308,830
Toyota,Cars,8,Poor,11680,789959,78995
N/A,Houses & Apartments,0,Good,0,3787,2847
LG,Electronics,2,Like New,2920,31310,15987
Acer,Electronics,0,Like New,0,163345,145643
Godrej,Furniture,1,Good,1460,36917,18291
HotWheels,Kids,10,Good,14600,14824,1482
Bajaj,Bikes,3,Poor,4380,237336,47790
Generic,Other,6,Like New,8760,10538,1053
HP,Electronics,2,Fair,2920,129135,38895
Nilkamal,Furniture,5,Good,7300,8659,1025
Generic,Other,1,Good,1460,4088,1836
Apple,Mobiles,4,Good,5840,52841,12777
N/A,Services,7,Poor,10220,3691,369
Google,Mobiles,6,Like New,8760,123603,18307
N/A,Books,9,Good,13140,19537,1953
Honda,Bikes,9,Like New,13140,225395,45311
N/A,Books,1,Good,1460,8528,3461
Bajaj,Bikes,3,Good,4380,98597,45561
Barbie,Kids,8,Fair,11680,15751,1575
Maruti,Cars,0,Good,0,1919102,1222587
N/A,Houses & Apartments,6,Fair,8760,4397,439
Generic,Other,4,New,5840,5335,693
Nilkamal,Furniture,6,Fair,8760,45193,4519
Nike,Fashion,6,Fair,8760,1020,102
Mahindra,Cars,8,Fair,11680,1956331,249519
N/A,Services,6,Good,8760,19983,1998
N/A,Books,5,New,7300,3750,375
Samsung,Electronics,10,Poor,14600,179117,17911
Mahindra,Cars,9,Fair,13140,903141,108683
Apple,Mobiles,9,Like New,13140,60225,6022
N/A,Services,5,Good,7300,8530,853
Levis,Fashion,3,Poor,4380,16031,1603
N/A,Houses & Apartments,3,Like New,4380,4367,859
N/A,Books,5,Good,7300,16175,1617
N/A,Books,9,Fair,13140,7724,772
Sony,Electronics,9,New,13140,179969,21880
Generic,Other,8,Good,11680,12203,1220
HotWheels,Kids,0,Poor,0,19733,5852
Urban Ladder,Furniture,10,Like New,14600,33720,3372
N/A,Services,7,Good,10220,1666,166
N/A,Houses & Apartments,5,Good,7300,13630,1363
Mahindra,Cars,7,Good,10220,1032564,231864
Nivia,Sports,5,Like New,7300,14796,1479
Puma,Fashion,0,Good,0,14421,10511
N/A,Services,5,Fair,7300,16918,1691
Generic,Other,3,Fair,4380,8279,898
Wilson,Sports,1,Like New,1460,18027,9632
FisherPrice,Kids,4,Fair,5840,8538,853
Urban Ladder,Furniture,8,Like New,11680,32727,3272
Acer,Electronics,1,Good,1460,137708,79011
N/A,Services,0,Poor,0,13358,4006
TVs,Bikes,1,Like New,1460,80728,61625
Bajaj,Bikes,5,Good,7300,79633,23522
Generic,Other,0,Fair,0,4212,1974
N/A,Books,5,Good,7300,11734,1173
N/A,Services,3,Fair,4380,9878,1167
Xiaomi,Mobiles,6,Like New,8760,81929,11503
N/A,Services,2,Like New,2920,15594,5060
N/A,Houses & Apartments,7,New,10220,4722,472
Sony,Electronics,7,Good,10220,144633,22953
Apple,Mobiles,6,Poor,8760,119921,11992
N/A,Services,10,Good,14600,12448,1244
FisherPrice,Kids,5,Like New,7300,5227,522
Adidas,Fashion,6,Fair,8760,10364,1036
Hyundai,Cars,1,New,1460,847015,708170
Hero,Bikes,4,Good,5840,234371,85455
N/A,Services,5,Good,7300,3083,308
N/A,Books,0,Good,0,10545,7313
Generic,Other,5,Fair,7300,9278,927
N/A,Services,3,Poor,4380,18853,1885
Nike,Fashion,1,Good,1460,9192,4148
N/A,Services,10,New,14600,9948,994
N/A,Services,9,New,13140,5868,586
Acer,Electronics,9,Fair,13140,92967,9296
Levis,Fashion,8,Like New,11680,13052,1305
Vivo,Mobiles,10,New,14600,92380,9238
Nilkamal,Furniture,2,New,2920,41273,17434
LG,Electronics,5,Good,7300,152816,34881
Mahindra,Cars,7,Good,10220,1418129,300456
TVs,Bikes,4,Fair,5840,112856,28920
N/A,Houses & Apartments,4,Good,5840,8604,860
Barbie,Kids,6,Good,8760,3851,385
Toyota,Cars,0,Good,0,988963,701850
Nike,Fashion,0,Fair,0,18330,8716
Local,Furniture,5,Fair,7300,9403,940
N/A,Services,4,Like New,5840,9382,1136
N/A,Services,1,Like New,1460,16711,8524
Generic,Other,7,Poor,10220,6655,665
N/A,Books,2,Good,2920,14441,3603
Nike,Fashion,10,Fair,14600,18711,1871
N/A,Houses & Apartments,0,Fair,0,3485,1843
Generic,Other,2,Good,2920,3215,807
IKEA,Furniture,10,Poor,14600,6468,646
Hero,Bikes,3,Poor,4380,194473,34686
Wilson,Sports,2,Like New,2920,5810,1818
Godrej,Furniture,1,New,1460,17279,10700
Samsung,Electronics,9,Poor,13140,172906,17290
Dell,Electronics,5,Like New,7300,63104,16270
Wilson,Sports,8,New,11680,17365,1736
N/A,Houses & Apartments,2,Good,2920,6169,1702
Nilkamal,Furniture,5,Good,7300,26991,3223
N/A,Books,10,Good,14600,1555,155
Generic,Other,5,Good,7300,14278,1427
Hyundai,Cars,4,Good,5840,927204,340800
Yamaha,Bikes,2,Like New,2920,124170,77520
IKEA,Furniture,7,Like New,10220,8737,873
Vivo,Mobiles,5,Good,7300,56695,10044
N/A,Books,7,Good,10220,11003,1100
Bajaj,Bikes,6,Like New,8760,298389,100852
Godrej,Furniture,0,Like New,0,8115,6259
Acer,Electronics,8,Like New,11680,23219,3262
N/A,Services,7,Good,10220,15148,1514
Samsung,Electronics,5,Poor,7300,84930,8755
Godrej,Furniture,8,Fair,11680,12379,1237
Acer,Electronics,8,Good,11680,66818,7782
Generic,Other,1,Good,1460,17299,7329
TVs,Bikes,8,Good,11680,76434,14816
Wilson,Sports,2,New,2920,16740,5796
Google,Mobiles,0,Like New,0,104936,80830
Honda,Bikes,3,Fair,4380,104015,29696
Generic,Other,9,New,13140,16405,1640
Nivia,Sports,6,Like New,8760,4906,490
Yonex,Sports,4,Fair,5840,9515,951
N/A,Houses & Apartments,4,Poor,5840,15561,1556
Yamaha,Bikes,6,Good,8760,192665,48378
N/A,Books,1,Like New,1460,14186,6826
Royal Enfield,Bikes,0,Good,0,202642,143327
N/A,Houses & Apartments,6,Good,8760,14069,1406
N/A,Services,6,Like New,8760,15823,1582
Mahindra,Cars,9,Good,13140,551209,81711
N/A,Books,5,Like New,7300,5947,594
N/A,Books,1,Good,1460,1988,894
Kia,Cars,9,Good,13140,1376900,235583
Generic,Other,9,Like New,13140,13040,1304
N/A,Books,8,Like New,11680,13745,1374
Acer,Electronics,2,Good,2920,77019,34077
Generic,Other,1,New,1460,10427,5665
Royal Enfield,Bikes,1,Poor,1460,110769,26574
Sony,Electronics,3,Like New,4380,65965,28202
Generic,Other,10,Fair,14600,12655,1265
N/A,Houses & Apartments,9,Good,13140,2799,279
Royal Enfield,Bikes,8,Good,11680,131596,25193
Generic,Other,5,Good,7300,10998,1099
Puma,Fashion,4,Fair,5840,18511,1851
Samsung,Electronics,0,Good,0,58777,40700
Oppo,Mobiles,9,Like New,13140,102613,10261
IKEA,Furniture,2,New,2920,26091,12921
Sony,Electronics,5,Poor,7300,154161,15416
N/A,Houses & Apartments,4,Good,5840,15298,1529
HP,Electronics,8,Fair,11680,89786,8978
Generic,Other,1,Good,1460,9429,3736
Dell,Electronics,4,New,5840,149022,60027
Urban Ladder,Furniture,7,Fair,10220,17732,1773
N/A,Houses & Apartments,2,Good,2920,17966,4587
Generic,Other,3,Like New,4380,1543,256
N/A,Books,8,Good,11680,9122,912
Yonex,Sports,6,New,8760,17837,1783
Nothing,Mobiles,9,Like New,13140,136201,13620
N/A,Services,4,Fair,5840,17274,1727
Tata,Cars,4,Like New,5840,1681334,781327
N/A,Services,8,Like New,11680,11562,1156
Lego,Kids,3,Good,4380,10522,1433
N/A,Books,9,New,13140,14602,1460
Kia,Cars,8,Good,11680,687579,131165
Yonex,Sports,10,Good,14600,16361,1636
Realme,Mobiles,4,Like New,5840,47669,13293
Generic,Other,5,Good,7300,7746,774
Xiaomi,Mobiles,1,Like New,1460,75073,44313
Levis,Fashion,3,Good,4380,18102,2889
Generic,Other,7,Fair,10220,19691,1969
Hero,Bikes,9,Fair,13140,133840,16185
N/A,Services,9,Good,13140,19807,1980
HotWheels,Kids,5,Like New,7300,10011,1001
N/A,Books,4,Good,5840,4736,473
HotWheels,Kids,8,Good,11680,1208,120
Puma,Fashion,3,Like New,4380,9683,1874
Levis,Fashion,5,Fair,7300,13135,1313
N/A,Houses & Apartments,2,Like New,2920,1941,596
Generic,Other,3,Good,4380,10462,1561
Generic,Other,5,Poor,7300,9346,934
N/A,Houses & Apartments,3,Good,4380,5210,769
Yonex,Sports,4,Good,5840,7656,765
Apple,Electronics,8,Good,11680,73538,7812
Mahindra,Cars,7,Good,10220,727913,162870
Decathlon,Sports,0,Good,0,1711,1154
Nivia,Sports,6,New,8760,5987,598
Redmi,Mobiles,4,New,5840,141618,42501
Hyundai,Cars,6,Good,8760,866677,250143
Adidas,Fashion,7,Like New,10220,3447,344
Generic,Other,5,Like New,7300,8707,870
Yonex,Sports,2,Fair,2920,5515,934
Levis,Fashion,0,Good,0,7415,5697
Decathlon,Sports,4,Good,5840,2253,225
Local,Furniture,7,Good,10220,31603,3160
Samsung,Electronics,8,Fair,11680,143590,14359
N/A,Services,8,Poor,11680,8574,857
N/A,Services,8,Good,11680,17632,1763
Puma,Fashion,7,Fair,10220,5788,578
N/A,Services,0,Good,0,16004,12251
N/A,Books,10,Fair,14600,12899,1289
N/A,Services,6,Poor,8760,3918,391
N/A,Houses & Apartments,3,Fair,4380,9887,1004
Royal Enfield,Bikes,4,Fair,5840,243715,58843
Yonex,Sports,9,New,13140,15408,1540
N/A,Services,4,Good,5840,2233,223
N/A,Services,9,Fair,13140,13661,1366
Generic,Other,6,Like New,8760,7433,743
N/A,Books,0,New,0,4481,4427
Lenovo,Electronics,5,Fair,7300,124276,19613
N/A,Houses & Apartments,8,Poor,11680,14604,1460
HP,Electronics,2,Fair,2920,29327,9799
Yonex,Sports,6,Like New,8760,14336,1433
N/A,Houses & Apartments,1,Good,1460,18778,7961
Levis,Fashion,4,Like New,5840,14229,1459
Local,Furniture,3,Fair,4380,13945,2177
IKEA,Furniture,9,Fair,13140,39781,3978
H&M,Fashion,3,Like New,4380,7354,1482
TVs,Bikes,2,New,2920,74624,55810
N/A,Services,6,Poor,8760,18859,1885
N/A,Services,5,Good,7300,17399,1739
N/A,Books,0,Like New,0,8327,7625
Apple,Mobiles,1,Good,1460,139566,74200
Local,Furniture,9,Good,13140,30853,3085
Mahindra,Cars,2,Fair,2920,1674997,642737
Mahindra,Cars,6,Good,8760,436974,116876
N/A,Services,4,Fair,5840,5694,569
Lego,Kids,0,Good,0,13850,9516
N/A,Services,4,Good,5840,7911,791
Royal Enfield,Bikes,7,Good,10220,109702,25792
LG,Electronics,6,Good,8760,187379,32284
Generic,Other,5,Good,7300,5863,586
Decathlon,Sports,9,Poor,13140,6157,615
HP,Electronics,1,Like New,1460,40716,25290
IKEA,Furniture,1,Good,1460,23123,11750
FisherPrice,Kids,9,Good,13140,15959,1595
Generic,Other,4,Good,5840,12363,1236
Royal Enfield,Bikes,0,Good,0,240458,181141
N/A,Services,9,Poor,13140,7355,735
Tata,Cars,4,Poor,5840,1542339,229771
Adidas,Fashion,9,Like New,13140,7447,744
IKEA,Furniture,8,Good,11680,46608,4660
Samsung,Electronics,1,Fair,1460,77497,33493
Samsung,Mobiles,6,Good,8760,35016,3968
OnePlus,Mobiles,4,Good,5840,122928,27810
Barbie,Kids,5,Fair,7300,19698,1969
N/A,Books,10,Good,14600,10208,1020
N/A,Books,4,Like New,5840,12704,1359
Bajaj,Bikes,0,Like New,0,285384,255906
Mahindra,Cars,7,Like New,10220,1890471,523829
Levis,Fashion,3,Good,4380,18858,2965
Local,Furniture,3,Fair,4380,22969,3929
Generic,Other,2,Good,2920,8238,2083
N/A,Books,6,Good,8760,8855,885
Toyota,Cars,1,Like New,1460,1601818,1220217
N/A,Houses & Apartments,5,Poor,7300,18156,1815
Adidas,Fashion,1,Good,1460,16592,6433
N/A,Services,4,Good,5840,8558,855
N/A,Houses & Apartments,9,Good,13140,2835,283
Barbie,Kids,1,Fair,1460,4896,1522
Decathlon,Sports,0,Like New,0,12501,11009
Hero,Bikes,10,New,14600,270260,54856
Lego,Kids,6,Good,8760,12940,1294
Local,Furniture,4,New,5840,14606,3118
Redmi,Mobiles,0,Good,0,83558,52881
Urban Ladder,Furniture,10,Like New,14600,19833,1983
Tata,Cars,2,Good,2920,1876457,946215
Lenovo,Electronics,5,Like New,7300,70025,18035
Puma,Fashion,0,Good,0,1521,1022
Yonex,Sports,3,Poor,4380,6888,688
Generic,Other,6,Fair,8760,4175,417
Urban Ladder,Furniture,8,Good,11680,6505,650
N/A,Services,3,Like New,4380,14698,2714
Apple,Mobiles,3,Like New,4380,29818,10764
N/A,Books,4,Fair,5840,18024,1802
Generic,Other,2,Good,2920,5917,1603
N/A,Houses & Apartments,8,Like New,11680,8551,855
IKEA,Furniture,3,New,4380,28501,8426
Nilkamal,Furniture,4,Good,5840,22474,3833
Nothing,Mobiles,5,Like New,7300,27866,5905
Samsung,Electronics,5,Good,7300,120031,28549
Yamaha,Bikes,5,Good,7300,104583,33540
Samsung,Electronics,8,Good,11680,116344,14844
N/A,Books,0,Good,0,7693,5751
